电话号码,144,2252
相信,1048,2252
大家,1020,2252
看过,411,2252
电锯,15,2252
听说,859,2252
电话,819,2252
试想,30,2252
接到,372,2252
是,2231,2252
心跳,339,2252
是否,515,2252
会,2060,2252
加速,177,2252
想,2057,2252
应该,1315,2252
砰砰,170,2252
跳,970,2252
某年某月,6,2252
王秋生,1,2252
睡不着,335,2252
觉,400,2252
失眠,96,2252
翻,578,2252
身,498,2252
忍耐,101,2252
不住,668,2252
打开,1348,2252
电脑,334,2252
进,1139,2252
网页,40,2252
精彩,122,2252
页面,23,2252
看到,1832,2252
有,2199,2252
见鬼,252,2252
方法,460,2252
文章,103,2252
点击,59,2252
写,811,2252
时候,1918,2252
拨,214,2252
打,1219,2252
遇到,769,2252
事情,1404,2252
害怕,1224,2252
可,1497,2252
试,397,2252
哼哼,161,2252
搞,585,2252
不信,356,2252
倒,1166,2252
要,2077,2252
看看,1389,2252
出,1343,2252
事,1564,2252
不屑,250,2252
看,2023,2252
屏幕,238,2252
时间,1393,2252
离,731,2252
还有,1677,2252
拿起,356,2252
接通,145,2252
没,1015,2252
声音,1836,2252
屏住,182,2252
呼吸,740,2252
等待,640,2252
头,1563,2252
听筒,81,2252
发出,1147,2252
刺耳,277,2252
电流,69,2252
声,489,2252
吓,1342,2252
扔掉,213,2252
逃回,45,2252
卧室,377,2252
被子,430,2252
裹,262,2252
响,577,2252
哭声,348,2252
用力,696,2252
捂着,338,2252
耳朵,669,2252
企图,134,2252
不让,573,2252
听到,1496,2252
让,1998,2252
崩溃,335,2252
没有,2127,2252
响起,758,2252
结束,644,2252
全身,916,2252
颤抖,845,2252
打量,519,2252
角落,452,2252
感觉,1625,2252
床上,1053,2252
客厅,446,2252
门,1211,2252
缝,221,2252
发现,1786,2252
走出,834,2252
去,1955,2252
杯水,67,2252
坐在,1329,2252
沙发,454,2252
端,476,2252
水杯,70,2252
手,1525,2252
铃铃铃,17,2252
掉,830,2252
盯,1055,2252
接,624,2252
挂断,149,2252
意思,806,2252
女人,1224,2252
笑声,502,2252
笑,1568,2252
吼到,6,2252
哭,983,2252
说话,1317,2252
人,2154,2252
听,1728,2252
发毛,189,2252
像,1574,2252
来自,428,2252
地狱,378,2252
回头,916,2252
转过,668,2252
知道,2058,2252
尸体,1080,2252
警察,667,2252
受到,504,2252
惊吓,290,2252
导致,386,2252
心肌,25,2252
粳塞,20,2252
血管,153,2252
爆,121,2252
吐出来,137,2252
捐款,22,2252
市,224,2252
慈善,19,2252
助人,10,2252
协会会长,2,2252
姓周,2,2252
和善,56,2252
周,112,2252
会长,76,2252
老婆,466,2252
带,1524,2252
孩子,976,2252
探亲,25,2252
剩下,869,2252
门铃,170,2252
起来,1958,2252
揉,479,2252
睡眼,103,2252
开门,623,2252
站,1597,2252
秃顶,43,2252
胖子,140,2252
满头大汗,146,2252
抱,972,2252
密码箱,7,2252
地问,298,2252
找,1744,2252
来,1982,2252
擦汗,38,2252
说,2204,2252
纳闷,258,2252
解释,753,2252
硬生生,203,2252
挤,305,2252
进来,1043,2252
到,1884,2252
屁股,456,2252
喘,546,2252
粗气,230,2252
捐,35,2252
张大,233,2252
了嘴,139,2252
点头,843,2252
露出,925,2252
盛,174,2252
百元大钞,30,2252
清点,44,2252
完钱,5,2252
捐给,23,2252
协会,39,2252
对方,613,2252
喝醉,149,2252
了酒,41,2252
提醒,444,2252
急,675,2252
不到,1112,2252
天亮,390,2252
皱起,190,2252
双眉,25,2252
为难,243,2252
手头,68,2252
发票,14,2252
不能,1448,2252
开,1336,2252
收据,12,2252
摆手,264,2252
请,971,2252
留下,906,2252
姓名,155,2252
住址,74,2252
拿,1506,2252
纸,432,2252
准备,1216,2252
作,349,2252
记录,269,2252
制止,181,2252
匿名,16,2252
鞠躬,66,2252
拎,325,2252
空,249,2252
告辞,178,2252
望,959,2252
离去,454,2252
背影,487,2252
堆,275,2252
现金,93,2252
收拾,728,2252
回来,1394,2252
扛着,106,2252
大麻,10,2252
进门,274,2252
解开,382,2252
麻袋,53,2252
小山,76,2252
钱,993,2252
告诉,1424,2252
全部,717,2252
不留,94,2252
说完,1089,2252
掖,49,2252
惊,524,2252
障目,2,2252
结舌,7,2252
回,1076,2252
神,678,2252
麻子,15,2252
闯,157,2252
麻脸,3,2252
拖,496,2252
特大号,12,2252
拉杆箱,4,2252
装,575,2252
人民币,59,2252
看上去,442,2252
倒空,1,2252
舒,132,2252
擦,603,2252
额头,599,2252
冷汗,602,2252
冲冲,38,2252
接连,179,2252
捐款者,1,2252
加上,658,2252
巨款,31,2252
大腿,303,2252
掐,214,2252
疼,436,2252
看来,957,2252
做梦,417,2252
弄,763,2252
懂,517,2252
意图,105,2252
意味着,154,2252
透过,493,2252
捆,102,2252
钞票,125,2252
看见,1419,2252
别墅,180,2252
名车,8,2252
美女,348,2252
上班,434,2252
交出,53,2252
浇,100,2252
心理,371,2252
观望,93,2252
反应,751,2252
动静,522,2252
胆子,469,2252
决定,932,2252
截留,3,2252
开始,1675,2252
敢动,30,2252
觉得,1686,2252
买车,6,2252
买房,29,2252
包养,17,2252
情妇,29,2252
送上门,62,2252
日子,728,2252
甭提,14,2252
开车,350,2252
回家,1097,2252
时,1571,2252
车祸,248,2252
急救车,24,2252
赶到,403,2252
断,394,2252
气,823,2252
魂魄,273,2252
往前走,276,2252
地方,1554,2252
走来,437,2252
牛头,15,2252
马面,6,2252
鬼差,24,2252
抖,371,2252
铁链,71,2252
锁住,79,2252
周会,2,2252
一长,1,2252
吓了一跳,521,2252
忙,770,2252
问,1594,2252
